variant,seed,generation,evaluations,best_fitness,mean_fitness,std_fitness,worst_fitness,best_body_size
mutation_only,0,0,50,18.72736184954957,20.791370676137408,0.9392805008382156,22.99722114972099,21
mutation_only,0,1,100,16.214944167960986,19.015811583213893,1.0615896285704793,20.109975124224178,17
mutation_only,0,2,150,15.033907960581372,17.420897598825107,0.8629752949510354,18.710844001658266,15
mutation_only,0,3,200,14.520465053408525,16.323555624120473,0.49504689428450444,17.053503525729667,15
mutation_only,0,4,250,14.520465053408525,15.751908271152626,0.513958454312964,16.37840487520902,15
mutation_only,0,5,300,14.303329637837292,15.190775078211944,0.38873902034751134,15.683294573433784,15
mutation_only,0,6,350,13.953720459187963,14.793495974788684,0.3103825622078058,15.204834939252004,12
mutation_only,0,7,400,13.63469899493758,14.477951825182613,0.31477588445649596,14.891924966748062,12
mutation_only,0,8,450,13.423538406167134,14.221815253492903,0.2966443330362135,14.580243893371346,13
mutation_only,0,9,500,13.423538406167134,14.032705229186902,0.22873124151572466,14.330950643030008,13
mutation_only,0,10,550,13.423538406167134,13.867339843738502,0.1645080305027875,14.137715508089904,13
mutation_only,0,11,600,13.1431676725155,13.749269397512537,0.1873192087416366,13.953720459187963,12
mutation_only,0,12,650,13.1431676725155,13.68339410772723,0.15387765964485947,13.867156809750927,12
mutation_only,0,13,700,13.1431676725155,13.629283198585986,0.13939176488778876,13.78806130178211,12
mutation_only,0,14,750,13.1431676725155,13.622907999598244,0.13576078933258465,13.772077843177478,12
mutation_only,0,15,800,13.1431676725155,13.587226777790672,0.12799819004467444,13.756465996625053,12
mutation_only,0,16,850,13.105547008526779,13.497177806547137,0.1485522865245995,13.664582518894846,12
mutation_only,0,17,900,12.707130750570547,13.426515455582788,0.16844927463345055,13.588435821108957,11
mutation_only,0,18,950,12.707130750570547,13.355364328293204,0.19937907216205686,13.549285568453591,11
mutation_only,0,19,1000,12.707130750570547,13.31474626833305,0.19805871527059107,13.51657508881031,11
mutation_only,0,20,1050,12.707130750570547,13.26383529486717,0.18724706092809548,13.467670500619608,11
mutation_only,0,21,1100,12.707130750570547,13.190916602011677,0.1828176045926652,13.420465053408524,11
mutation_only,0,22,1150,12.461324772583616,13.11590560352426,0.18166769874368166,13.323790007724451,12
mutation_only,0,23,1200,12.461324772583616,13.049517232463677,0.1615201650343979,13.260681686165901,12
mutation_only,0,24,1250,12.461324772583616,13.038879023772159,0.1565270514668108,13.227566688249707,12
mutation_only,0,25,1300,12.461324772583616,13.000804606771531,0.14834875251711233,13.16468827043885,12
mutation_only,0,26,1350,12.461324772583616,12.95057863577621,0.14213211020667324,13.105547008526779,12
mutation_only,0,27,1400,12.461324772583616,12.932995605255623,0.14044134105930225,13.093468988235944,12
mutation_only,0,28,1450,12.336229149573722,12.89840472682059,0.15145603659057136,13.093468988235944,12
mutation_only,0,29,1500,12.30384048104053,12.84054266825437,0.16638320472797857,13.030727575266251,12
mutation_only,0,30,1550,12.292838827718413,12.796866034392867,0.17574572188757684,12.983266665599967,12
mutation_only,0,31,1600,12.292838827718413,12.749410270539874,0.17096266223985587,12.953720459187963,12
mutation_only,0,32,1650,12.257583690279022,12.70017891614102,0.17474768319770287,12.891153452528776,12
mutation_only,0,33,1700,12.257583690279022,12.672784197741278,0.1628938895436994,12.85870331449229,12
mutation_only,0,34,1750,12.257583690279022,12.642180237950464,0.15565885627677856,12.839607805437115,12
mutation_only,0,35,1800,12.257583690279022,12.617955274339163,0.1428926316171684,12.82828568570857,12
mutation_only,0,36,1850,12.257583690279022,12.557725709676498,0.12868153726214787,12.707130750570547,12
mutation_only,0,37,1900,12.257583690279022,12.532859356390071,0.1305701961988681,12.70332963783729,12
mutation_only,0,38,1950,12.257583690279022,12.515512803537854,0.12194309615971469,12.660107523773828,12
mutation_only,0,39,2000,12.257583690279022,12.494926116551651,0.12408588452644269,12.6431676725155,12
mutation_only,0,40,2050,12.112403840463596,12.463563510990843,0.1314760786173367,12.605547008526779,13
mutation_only,0,41,2100,12.112403840463596,12.455139821080644,0.12875143143836068,12.6,13
mutation_only,0,42,2150,12.112403840463596,12.437062438918653,0.12663110215956608,12.6,13
mutation_only,0,43,2200,12.112403840463596,12.414373201788974,0.12337608762712371,12.581138830084189,13
mutation_only,0,44,2250,12.112403840463596,12.374837774173976,0.10951321018141148,12.555294535724686,13
mutation_only,0,45,2300,12.112403840463596,12.364779611986608,0.10387981272300639,12.555294535724686,13
mutation_only,0,46,2350,12.112403840463596,12.33469859150617,0.08951901929523781,12.492838827718412,13
mutation_only,0,47,2400,12.112403840463596,12.31063489764694,0.0649970300706495,12.491153452528778,13
mutation_only,0,48,2450,12.112403840463596,12.309096099843826,0.0615229862890495,12.461324772583616,13
mutation_only,0,49,2500,12.112403840463596,12.298900009621473,0.04802231358447989,12.378404875209021,13
mutation_only,0,50,2550,12.112403840463596,12.28656975240474,0.03867782065669037,12.36287388383278,13
mutation_only,0,51,2600,12.112403840463596,12.279717385157987,0.0362031581225616,12.336229149573722,13
mutation_only,0,52,2650,12.112403840463596,12.277750195760444,0.03487026162720115,12.336229149573722,13
mutation_only,0,53,2700,12.112403840463596,12.272645301824364,0.03281274370795654,12.30384048104053,13
mutation_only,0,54,2750,12.112403840463596,12.267511963553547,0.03540950195377976,12.30384048104053,13
mutation_only,0,55,2800,12.112403840463596,12.256206708998493,0.04673299776621601,12.30384048104053,13
mutation_only,0,56,2850,12.112403840463596,12.249967291032888,0.04936319601094494,12.30384048104053,13
mutation_only,0,57,2900,12.112403840463596,12.244728352723774,0.05156072078253756,12.292838827718413,13
mutation_only,0,58,2950,12.112403840463596,12.243462836451378,0.05113916102173727,12.292838827718413,13
mutation_only,0,59,3000,12.112403840463596,12.243462836451378,0.05113916102173727,12.292838827718413,13
mutation_only,0,60,3050,12.112403840463596,12.239149033957494,0.05335356160885411,12.292838827718413,13
mutation_only,0,61,3100,12.112403840463596,12.235116083418454,0.050726686792799174,12.292838827718413,13
mutation_only,0,62,3150,12.112403840463596,12.228827237824655,0.04738734976596447,12.260232526704263,13
mutation_only,0,63,3200,12.112403840463596,12.219435332502691,0.051659143362729094,12.257583690279022,13
