variant,number_of_runs,mean_final_best_fitness,std_final_best_fitness,minimum_final_best_fitness,maximum_final_best_fitness
mutation_only,5,12.196047103001893,0.19759165139113927,11.948331477354788,12.548808848170152
crossover,5,12.599879939949549,0.21950689534138712,12.30990195135928,12.889897948556635
random_search,5,17.058148152161298,0.21705459447436112,16.683095189484533,17.30990195135928
